time,l_mean,l_median,l_std,l_skew,l_n,l_min,l_max,l_amp,l_quad2h,l_lin1100s,acoust,lid_6m_quad
2017-06-12 00:31:03.970920,2.4713069370604606,2.46,0.08885194952806516,1.7064347163692744,553563.0,2.074,2.931,18293.191244718306,2.4790720131774338,2.478950038047247,2.009118388563923,2.4778570745523463
2017-06-21 22:29:35.864750,2.436769432611214,2.442,0.11672310309428185,0.7056189960334427,1171137.0,1.989,3.025,18271.50228453204,2.439865155778205,2.43896529913833,2.072936610361899,2.374602239378093
2017-07-01 20:28:07.806800,2.417769450540569,2.412,0.08062297829974785,1.4164599205779824,569123.0,2.037,2.841,20174.770111206188,2.4245743869675,2.416613727954545,2.069219208977046,2.421634406556257
2017-07-11 18:26:39.621570,2.1612133931268644,2.154,0.06578092484019982,2.542653749139553,705093.0,1.75,2.767,18451.325429411438,2.1641871990691746,2.1609327823962596,2.4268229253458857,2.161313543628267
2017-07-21 16:25:11.170120,2.0622575361453808,2.057,0.05388368983495097,1.2366604264987557,810892.0,1.775,2.36,22134.465332004755,2.0599292098045603,2.0626083499177392,2.5067913343657513,2.058114890245643
2017-07-31 14:23:42.512770,2.4077942833096553,2.397,0.08734810239001303,2.013768615999606,537059.0,2.087,2.893,35609.30941851826,2.405684531207066,2.4080413883106666,2.0770417527825478,2.4036968429435697
2017-08-10 12:22:13.714570,3.194273171351882,3.191,0.048598140802082954,1.4809593653111277,912409.0,2.915,3.471,21653.490857718414,3.1942508125365987,3.194489655469208,1.238810936591552,3.1916273544289093
2017-08-20 10:20:44.806920,3.4972695892366374,3.497,0.04410400617984293,1.6348028813527273,1078845.0,3.2,4.014,65862.1658097317,3.5033864704996938,3.497266353554348,0.9563718186504649,3.5032417539107743
2017-08-30 08:19:15.695860,2.7217610753109613,2.716,0.07161911984840551,1.4382255529269574,693976.0,2.364,3.093,25258.020705326984,2.7225328575300174,2.722233148720265,1.7236678530619833,2.721194847378465
2017-09-09 06:17:46.863690,1.6840665383509261,1.677,0.0648627710878312,1.7394097700591074,848428.0,1.333,2.039,23301.44739919003,1.694440419368452,1.6849905483720602,2.7543920447083994,1.6949701786019171
2017-09-19 04:16:19.077490,1.3253697549463186,1.31,0.09821521525906467,2.2889781265141402,603378.0,0.901,1.847,21975.390794825136,1.3358974461304083,1.3244534588605739,3.0778202105578543,1.3378784920712539
2017-09-29 02:14:51.137490,2.179715344548993,2.173,0.07491653666752368,1.2362440106655883,437543.0,1.848,2.587,24323.6011706278,2.1823221760288374,2.1815372508613664,2.262654493211561,2.1808101066528316
2017-10-09 00:13:23.120210,3.101881088702786,3.079,0.1036254395190328,1.4549872610023598,46808.0,2.8,3.958,33174.64685523842,3.1684531972899643,3.3187585671456463,1.3374731919978138,3.1705794426244207
2017-10-18 22:11:55.108330,2.8163783597372682,2.737,0.33278605465197364,-0.004119634115442402,1507856.0,2.081,4.026,22943.546758443776,2.821877599477911,2.8170570133055115,1.3166314582658698,3.148613748902653
2017-10-28 20:10:27.057570,2.239965021064578,2.235,0.059819172135586296,1.5420286344382135,766690.0,1.938,2.588,26667.2865551918,2.238027731327781,2.2397280375568784,2.264158931767559,2.2360584794925744
2017-11-07 18:08:58.704710,1.413432001555361,1.395,0.10256138626086193,2.2388529608208834,586359.0,0.999,2.023,22102.06628533032,1.4191031920910107,1.4119140737529268,3.0160447746428862,1.419278629324242
2017-11-17 16:07:30.036160,1.4629807414115514,1.44,0.11586502649235149,1.8072577627152397,170054.0,1.095,2.029,18839.439248709234,1.4763779790707416,1.4628823376324829,2.969536166223293,1.476089666491178
2017-11-27 14:06:01.080980,2.0241396777509184,2.019,0.07834631742984127,0.9920683831318657,210148.0,1.686,2.425,17913.210289890932,2.0245649647723334,2.030209701973116,2.4686954893562043,2.0268398473594744
2017-12-07 12:04:31.945640,2.4641465314768083,2.459,0.06784566306598085,1.5270382486216478,321030.0,2.123,2.831,18211.37435753668,2.4670904294315714,2.4640674388881507,1.9952689093024405,2.464311523611749
2017-12-17 10:03:03.353680,2.5022109054176487,2.494,0.08054630900381356,1.563094192913351,288077.0,2.154,2.93,18700.111990891324,2.5065080861717384,2.5021489363321385,1.9650759382429965,2.505186157533668
2017-12-27 08:01:35.359860,2.5880741891031116,2.574,0.10127156905244535,1.4879417055133042,240197.0,2.22,3.089,20018.173074601265,2.5867027233208364,2.5898446516205853,1.9061049070262575,2.5850668360868547
2018-01-06 06:00:07.236050,2.5277232832808516,2.517,0.1185920424963306,1.1539557255838204,214042.0,2.09,3.125,19053.506377253063,2.5358120977889547,2.527180395056483,1.9531861631982277,2.530064259635537
2018-01-16 03:58:39.007720,2.2463942767027243,2.238,0.11614339995993984,0.8723125066866629,239058.0,1.855,2.902,19911.767960076635,2.2549479941888455,2.246425837535899,2.232578769392895,2.254994850227178
2018-01-26 01:57:10.704610,2.4106876961499037,2.403,0.0812136213295746,1.3635309945303968,346355.0,2.043,2.841,15565.713672388156,2.414352823583069,2.410639331237425,2.0127960238130824,2.412310154009584
2018-02-04 23:55:42.422190,2.575644614315811,2.666,0.18897708428988,-0.07447401593253701,441903.0,2.111,3.47,16183.577180965054,2.5901435841462064,2.5884313654391162,1.6754786635233838,2.76617856939873
2018-02-14 21:54:14.135460,3.2963747655425473,3.294,0.06215464366183516,1.0100454863145927,182869.0,2.962,3.645,21274.628170985787,3.286574637417406,3.2986908700924347,1.1557027312350863,3.288044262563121
2018-02-24 19:52:45.714510,3.268639801253068,3.267,0.046873333165569735,0.6349706057139125,266067.0,3.022,3.528,21362.731266936524,3.261290158313286,3.2683367531279255,1.1550580283021488,3.254321755162683
2018-03-06 17:51:16.931100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.010514974580247,2.4858564089144357
2018-03-16 15:49:47.853100,1.6540374086747431,1.627,0.12065031499382745,1.3204489745976837,151382.0,1.064,2.377,17718.648326749546,1.6484440063621164,1.6558844916003164,2.807561764562504,1.6515017720705485
2018-03-26 13:48:18.521210,1.8209366770734359,1.807,0.10029514764362363,1.1710284970847997,132606.0,1.359,2.338,18472.36373919732,1.8199293350767864,1.8255244626769656,2.6097883031971594,1.8216250937977845
