time,bub,rad,l_mean,l_median,l_std,l_skew,l_n,l_min,l_max,l_amp,l_quad2h,l_lin1100s
2016-02-19 02:29:46.520,14.676976951014572,14.726976951014569,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-02-29 00:28:18.640,14.368500698894017,14.418500698894013,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-03-09 22:26:51.660,13.82392507006045,13.873925070060457,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-03-19 20:25:24.540,13.860050683371728,13.910050683371727,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-03-29 18:23:56.970,14.059507843605424,14.109507843605423,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-04-28 12:19:30.700,14.372374301772888,NaN,12.714969501013414,12.729000000000001,0.8252126507757381,-0.1164668366409298,51805.0,8.857999999999999,15.447000000000001,13665.983592317343,12.741173649990671,12.715453677016079
2016-05-18 08:16:31.790,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-05-28 06:15:03.930,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-06-07 04:13:36.240,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-06-17 02:12:08.500,15.142422584379691,15.19242258437969,11.84185943716389,11.847000000000001,0.4636336568494852,-0.0737106869530459,191530.0,10.231,13.530999999999999,15053.058293739885,11.832734508237671,11.841738910275696
2016-06-27 00:10:40.760,14.971301645948845,15.021301645948844,12.004885399456818,12.02,0.5789756313844842,-0.06497556839554634,424902.0,9.78,14.079,15011.041870831392,12.001686033102514,12.004226224681933
2016-07-06 22:09:13.020,14.65934278380321,14.70934278380321,12.134019216842066,12.167,0.4939231251353313,-0.3724964087542523,753922.0,9.672,13.767999999999999,15385.468897312985,12.137327544447416,12.133882698826014
2016-07-16 20:07:45.260,14.436376021798928,14.486376021798934,12.488853901008882,12.505999999999998,0.41376515898594035,-0.07084388733979473,501742.0,10.997,13.922,17978.653762292175,12.488776646546928,12.488819877001957
2016-07-26 18:06:17.190,14.230685701369575,14.280685701369574,12.737547363785247,12.745,0.3886204410891417,-0.09149477464857902,290644.0,11.133,14.360999999999999,15207.303639503998,12.72797825874429,12.7401929935517
2016-08-05 16:04:48.530,14.192042214992231,14.242042214992233,12.782519552487745,12.793,0.545652701632715,-0.09099963244829742,276998.0,10.745999999999999,14.805,14748.324605231806,12.781786340740343,12.786524031911991
2016-08-15 14:03:19.690,14.512392948872835,14.562392948872834,12.511116315099047,12.513,0.32540059855035497,-0.07092477947985959,256897.0,10.890999999999998,13.674000000000001,13727.860434337497,12.507766232696031,12.510894327587495
2016-08-25 12:01:50.700,14.72708337308716,14.777083373087157,12.293170032940756,12.297,0.29698271445236074,-0.07711441978709613,221610.0,11.038,13.557,14574.085492531925,12.288515508474564,12.292991410066264
2016-09-04 10:00:21.580,14.576055380216644,14.626055380216636,12.423019802491732,12.423,0.4335067456078012,-0.0811424869020279,135488.0,10.610999999999999,14.110999999999999,13130.028253424658,12.426478810970805,12.421941431528527
2016-09-24 05:57:24.440,13.792740796128024,13.842740796128027,13.212056387949088,13.214,0.5739518192178122,-0.08864013622717334,86898.0,10.948,15.31,13284.484878823449,13.209456015225808,13.211749311321986
2016-10-04 03:55:56.570,14.295243880647572,14.34524386259462,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-10-14 01:54:28.580,15.013600023788396,15.063600023788396,11.968517767887171,11.972999999999999,0.4603267657429438,-0.06861803190994796,127843.0,9.576,13.786,13092.538261774207,11.96636157561014,11.970153615372983
2016-10-23 23:53:00.510,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-11-02 21:51:32.430,14.474510768563018,14.524510768563019,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-11-12 19:50:04.200,14.078392684722404,14.128392684722408,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-11-22 17:48:35.570,14.373649920832746,14.423649920832744,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-12-02 15:47:06.690,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-12-12 13:45:37.580,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2017-01-01 09:42:39.480,14.76414460025265,14.814144600252648,12.164069475418902,12.165,0.6976179243633658,-0.026185401886325982,517003.0,9.724,14.52,17731.195745479232,12.169585773582629,12.16404556206496
2017-01-11 07:41:11.500,14.563484460164679,14.61348446016467,12.414019371154398,12.422,0.6686287364904585,-0.04423077892278844,596299.0,10.0,14.74,15101.20846756409,12.408729420877886,12.414499745860672
2017-01-21 05:39:43.420,14.381073183690823,14.431073183690824,12.60262150392485,12.622,1.0474271788194394,-0.08577999466317085,108157.0,7.989,16.064,14746.127046793088,12.6009501976759,12.602607630088844
2017-02-19 23:35:18.880,14.427424512497469,14.477424512497468,12.552674488553818,12.575,0.5578592496909488,-0.18735165788706243,127335.0,10.2,14.433,16379.909569246476,12.560062433547358,12.553852204050063
